Date,close,MSI,MACD,OSC
2018-01-01,"13,441.98",,,
2018-01-02,"14,770.64",,,
2018-01-03,"15,145.87",,,
2018-01-04,"15,188.81",,,
2018-01-05,"16,955.88",,,
2018-01-06,"17,127.92",,,
2018-01-07,"16,144.20",,,
2018-01-08,"14,999.09",,,
2018-01-09,"14,469.66",,,
2018-01-10,"14,908.05",,,
2018-01-11,"13,339.27",,,
2018-01-12,"13,729.92",,,
2018-01-13,"14,240.03",,,
2018-01-14,"13,660.42",,,
2018-01-15,"13,600.74",,,
2018-01-16,"11,472.14",,,
2018-01-17,"11,204.14",,,
2018-01-18,"11,284.28",,,
2018-01-19,"11,546.39",,,
2018-01-20,"12,782.42",,,
2018-01-21,"11,541.66",,,
2018-01-22,"10,791.75",,,
2018-01-23,"10,836.87",,,
2018-01-24,"11,381.03",,,
2018-01-25,"11,136.71",,,
2018-01-26,"11,088.16",,,
2018-01-27,"11,381.10",,,
2018-01-28,"11,621.15",,,
2018-01-29,"11,142.74",,,
2018-01-30,"9,988.31",,,
2018-01-31,"10,115.80",,,
2018-02-01,"9,012.89",,,
2018-02-02,"8,811.01",,,
2018-02-03,"9,213.73",,,
2018-02-04,"8,163.01",,,
2018-02-05,"6,878.96",,,
2018-02-06,"7,696.40",,,
2018-02-07,"7,576.41",,,
2018-02-08,"8,227.22",,,
2018-02-09,"8,685.72",-5.127794747,,-5.127794747
2018-02-10,"8,554.17",-4.031560019,,1.096234728
2018-02-11,"8,067.50",-7.819261263,,-3.787701245
2018-02-12,"8,894.40",-16.16378926,,-8.344527995
2018-02-13,"8,519.94",-18.06268149,,-1.898892227
2018-02-14,"9,483.48",-24.24106067,,-6.178379184
2018-02-15,"10,025.85",-23.74750931,,0.4935513637
2018-02-16,"10,183.91",-19.25192508,,4.495584225
2018-02-17,"11,105.63",-14.05708068,,5.194844401
2018-02-18,"10,408.53",-4.890343052,,9.166737629
2018-02-19,"11,161.26",-3.073470401,,1.81687265
2018-02-20,"11,229.38",2.350183329,,5.423653731
2018-02-21,"10,461.69",1.730516615,,-0.6196667142
2018-02-22,"9,835.88",-4.453090746,,-6.183607361
2018-02-23,"10,157.60",-15.36294932,,-10.90985858
2018-02-24,"9,690.96",-19.3592034,,-3.996254074
2018-02-25,"9,590.76",-27.72434435,,-8.365140954
2018-02-26,"10,311.70",-34.28305788,,-6.558713531
2018-02-27,"10,561.58",-36.3644824,,-2.081424517
2018-02-28,"10,306.81",-38.20741769,,-1.842935287
2018-03-01,"10,905.00",-45.33723001,,-7.12981232
2018-03-02,"11,022.27",-46.95167313,,-1.614443121
2018-03-03,"11,434.81",-50.24240337,,-3.29073024
2018-03-04,"11,478.12",-54.24990544,,-4.007502076
2018-03-05,"11,407.67",-57.25020993,,-3.000304485
2018-03-06,"10,713.03",-61.77435895,,-4.524149022
2018-03-07,"9,905.07",-71.07877431,-16.69299386,-9.304415356
2018-03-08,"9,291.47",-84.5237953,-17.7296586,-13.445021
2018-03-09,"9,246.63",-100.941809,-19.41235022,-16.41801371
2018-03-10,"8,777.03",-114.7196414,-21.81917409,-13.77783242
2018-03-11,"9,531.52",-131.0712297,-24.5552971,-16.35158825
2018-03-12,"9,113.49",-138.5416212,-27.72355097,-7.470391539
2018-03-13,"9,143.89",-148.4812376,-30.48579192,-9.939616397
2018-03-14,"8,194.19",-158.5823432,-33.09542825,-10.10110557
2018-03-15,"8,260.16",-172.5710165,-35.56864545,-13.98867328
2018-03-16,"8,263.84",-184.9136168,-38.2169161,-12.34260031
2018-03-17,"7,860.59",-194.4871117,-40.84084651,-9.57349492
2018-03-18,"8,190.18",-207.645154,-43.19490729,-13.15804234
2018-03-19,"8,598.79",-216.2021942,-45.59665165,-8.557040164
2018-03-20,"8,903.31",-217.4825923,-47.64135312,-1.280398107
2018-03-21,"8,892.03",-212.8350595,-48.80254583,4.647532843
2018-03-22,"8,710.45",-208.6423833,-48.78541446,4.192676141
2018-03-23,"8,922.42",-207.559573,-47.88157482,1.08281028
2018-03-24,"8,537.17",-206.1411121,-46.54140135,1.418460917
2018-03-25,"8,452.08",-205.4427622,-44.84786797,0.6983499072
2018-03-26,"8,143.28",-203.963599,-42.95422994,1.479163244
2018-03-27,"7,791.62",-206.7242361,-40.86310758,-2.760637168
2018-03-28,"7,940.08",-213.5960995,-38.97930917,-6.871863336
2018-03-29,"7,083.77",-216.9487019,-37.60737292,-3.352602392
2018-03-30,"6,835.18",-224.9755731,-36.37136411,-8.026871273
2018-03-31,"6,922.18",-232.1588099,-35.62881287,-7.18323681
2018-04-01,"6,812.64",-236.8848231,-35.21403734,-4.72601316
2018-04-02,"7,050.62",-245.48628,-34.86477509,-8.601456874
2018-04-03,"7,418.63",-247.4582339,-34.8799733,-1.971953965
2018-04-04,"6,794.09",-242.4521032,-34.65169502,5.006130793
2018-04-05,"6,774.51",-242.8047405,-33.67860395,-0.3526373938
2018-04-06,"6,611.62",-241.7373616,-32.56053952,1.067378994
2018-04-07,"6,897.00",-243.9612054,-31.22835579,-2.22384389
2018-04-08,"7,021.12",-238.9879257,-30.00614406,4.973279764
