Date,close,Index (MSI),MACD
1-1-2018,"13,441.98",,
2-1-2018,"14,770.64",,
3-1-2018,"15,145.87",,
4-1-2018,"15,188.81",,
5-1-2018,"16,955.88",,
6-1-2018,"17,127.92",,
7-1-2018,"16,144.20",,
8-1-2018,"14,999.09",,
9-1-2018,"14,469.66",,
10-1-2018,"14,908.05",,
11-1-2018,"13,339.27",,
12-1-2018,"13,729.92",,
13-1-2018,"14,240.03",,
14-1-2018,"13,660.42",,
15-1-2018,"13,600.74",,
16-1-2018,"11,472.14",,
17-1-2018,"11,204.14",,
18-1-2018,"11,284.28",,
19-1-2018,"11,546.39",,
20-1-2018,"12,782.42",,
21-1-2018,"11,541.66",,
22-1-2018,"10,791.75",,
23-1-2018,"10,836.87",,
24-1-2018,"11,381.03",,
25-1-2018,"11,136.71",,
26-1-2018,"11,088.16",,
27-1-2018,"11,381.10",,
28-1-2018,"11,621.15",,
29-1-2018,"11,142.74",,
30-1-2018,"9,988.31",,
31-1-2018,"10,115.80",,
1-2-2018,"9,012.89",,
2-2-2018,"8,811.01",,
3-2-2018,"9,213.73",,
4-2-2018,"8,163.01",,
5-2-2018,"6,878.96",,
6-2-2018,"7,696.40",,
7-2-2018,"7,576.41",,
8-2-2018,"8,227.22",,
9-2-2018,"8,685.72",-5.13,
10-2-2018,"8,554.17",-4.03,
11-2-2018,"8,067.50",-7.82,
12-2-2018,"8,894.40",-16.16,
13-2-2018,"8,519.94",-18.06,
14-2-2018,"9,483.48",-24.24,
15-2-2018,"10,025.85",-23.75,
16-2-2018,"10,183.91",-19.25,
17-2-2018,"11,105.63",-14.06,
18-2-2018,"10,408.53",-4.89,
19-2-2018,"11,161.26",-3.07,
20-2-2018,"11,229.38",2.35,
21-2-2018,"10,461.69",1.73,
22-2-2018,"9,835.88",-4.45,
23-2-2018,"10,157.60",-15.36,
24-2-2018,"9,690.96",-19.36,
25-2-2018,"9,590.76",-27.72,
26-2-2018,"10,311.70",-34.28,
27-2-2018,"10,561.58",-36.36,
28-2-2018,"10,306.81",-38.21,
1-3-2018,"10,905.00",-45.34,
2-3-2018,"11,022.27",-46.95,
3-3-2018,"11,434.81",-50.24,
4-3-2018,"11,478.12",-54.25,
5-3-2018,"11,407.67",-57.25,
6-3-2018,"10,713.03",-61.77,
7-3-2018,"9,905.07",-71.08,-16.69
8-3-2018,"9,291.47",-84.52,-17.73
